O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,recommended department
5.67,8.78,7.12,6.45,6.01,4.56,3.67,4.23,5.34,8.45,LA
8.45,6.45,7.01,7.56,5.67,3.78,2.89,3.12,3.45,8.12,LA
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,NS
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,NS
6.78,7.23,3.89,5.12,4.67,8.89,8.45,6.12,7.78,5.45,NS
8.78,7.67,4.01,5.12,4.67,7.23,6.78,6.12,8.45,5.45,NS
6.67,7.34,8.45,7.89,5.45,3.78,2.89,3.12,3.45,8.12,LA
9.12,7.45,4.01,5.23,4.67,7.01,6.45,6.78,8.78,5.45,NS
8.67,7.78,5.67,4.23,6.45,4.45,3.34,3.78,8.23,7.45,NS
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,NS
5.12,8.89,4.34,5.45,4.78,8.45,7.23,6.78,7.67,5.67,NS
9.12,7.45,5.45,5.23,4.67,7.01,6.45,6.78,8.78,4.01,NS
6.78,7.34,3.67,5.23,4.67,7.89,8.45,6.12,4.34,5.45,NS
6.67,7.78,3.45,6.01,5.45,8.67,3.12,3.78,4.45,7.45,LA
4.34,8.89,4.78,6.45,5.45,7.67,8.45,6.78,5.12,7.23,NS
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,NS
8.45,4.23,7.67,7.23,6.45,3.78,3.45,8.12,5.67,4.45,ES
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,NS
6.78,7.67,3.78,4.89,4.34,8.56,9.23,6.01,8.12,5.45,NS
7.23,8.34,5.45,9.12,6.01,4.67,3.23,3.67,4.34,7.01,NS
6.67,8.45,3.45,6.12,5.23,7.78,3.12,3.78,4.45,7.45,LA
7.23,7.67,4.23,5.45,4.89,9.23,8.67,6.45,8.12,5.67,NS
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,NS
7.67,6.12,8.78,7.45,6.45,3.45,2.89,3.12,3.67,8.23,LA
8.89,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,NS
6.78,8.45,7.34,5.45,6.01,4.67,3.45,3.78,4.23,7.78,NS
7.45,7.12,4.67,8.67,6.34,3.45,2.89,4.45,3.12,6.78,NS
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,NS
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,LA
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,NS
9.23,7.67,4.23,5.12,4.67,7.23,3.67,6.78,8.78,5.45,NS
6.67,8.45,3.45,6.12,5.45,7.78,3.12,3.78,4.45,7.45,NS
6.67,7.34,8.67,7.89,5.45,3.78,2.89,3.12,3.45,8.12,LA
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,NS
8.67,7.67,6.01,7.45,6.45,4.45,2.89,3.12,4.67,8.23,LA
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,NS
7.23,7.67,4.23,5.45,4.89,9.34,8.67,6.45,8.12,5.67,NS
7.23,8.23,8.67,6.45,6.01,7.67,4.23,4.56,5.12,5.45,LA
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,NS
7.45,7.78,6.01,8.67,6.45,5.12,4.23,4.56,5.34,8.23,LA
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,NS
6.01,8.45,5.23,9.34,6.45,4.67,3.23,3.67,4.34,7.78,NS
7.67,8.78,5.45,7.45,6.01,4.45,3.45,3.78,4.23,8.45,NS
8.67,7.78,4.45,5.12,6.01,5.34,4.01,6.45,8.23,7.45,NS
8.78,8.34,7.45,6.45,5.45,4.45,2.89,3.12,4.67,7.67,LA
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,ES
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,NS
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.45,8.34,7.45,NS
6.78,7.67,8.45,8.23,6.45,3.78,2.89,3.12,3.45,5.45,ES
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,LA
6.01,7.67,5.23,9.12,6.45,4.67,3.23,3.67,4.34,8.34,NS
5.23,7.67,4.67,8.56,8.12,4.23,3.12,3.45,3.78,6.45,NS
7.67,9.23,4.23,7.34,6.45,8.67,3.78,4.45,5.67,8.12,LA
6.01,8.45,3.78,4.01,4.67,7.67,8.23,6.78,7.45,4.23,LA
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,NS
8.67,4.23,7.67,7.45,6.45,3.78,3.45,8.23,5.67,4.45,ES
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,LA
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,LA
7.45,8.67,5.23,7.67,6.01,4.67,3.23,3.67,4.34,8.23,LA
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,LA
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,LA
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,LA
6.78,8.67,4.23,5.23,4.67,8.23,7.67,6.01,7.45,5.45,NS
7.34,7.67,4.23,5.23,4.67,9.34,8.45,6.78,8.12,5.67,NS
7.34,7.67,4.23,5.45,4.89,9.12,8.67,6.45,8.23,5.67,NS
